# tish perf record — schema v1 (TSV; ms; lower is better)
# meta	commit	7bcd937f
# meta	date	2026-06-14T18:22:57-07:00
# meta	tag	v2.3.5-3-g7bcd937f
# meta	os	Darwin arm64
# meta	runtimes	vm,interp,rust,cranelift,llvm,wasi,node,bun,deno,qjs
# meta	runs	5
# scope	name	runtime	ms	status
bundle	tests/main	vm	255	ok
bundle	tests/main	interp	418	ok
bundle	tests/main	rust	116	ok
bundle	tests/main	cranelift	351	ok
bundle	tests/main	llvm	349	ok
bundle	tests/main	wasi	1957	ok
bundle	tests/main	node	110	ok
bundle	tests/main	bun	87	ok
bundle	tests/main	deno	40	ok
bundle	tests/main	qjs	391	ok
test	core/array_methods	vm	17	ok
test	core/array_methods	interp	17	ok
test	core/array_methods	node	47	ok
test	core/array_methods_perf	vm	18	ok
test	core/array_methods_perf	interp	18	ok
test	core/array_methods_perf	node	47	ok
test	core/array_stress	vm	57	ok
test	core/array_stress	interp	93	ok
test	core/array_stress	node	62	ok
test	core/arrays	vm	17	ok
test	core/arrays	interp	17	ok
test	core/arrays	node	47	ok
test	core/arrow_functions	vm	18	ok
test	core/arrow_functions	interp	17	ok
test	core/arrow_functions	node	46	ok
test	core/benchmark_granular	vm	85	ok
test	core/benchmark_granular	interp	136	ok
test	core/benchmark_granular	node	52	ok
test	core/bitwise	vm	17	ok
test	core/bitwise	interp	17	ok
test	core/bitwise	node	47	ok
test	core/braceless_return	vm	17	ok
test	core/braceless_return	interp	17	ok
test	core/braceless_return	node	47	ok
test	core/break_continue	vm	17	ok
test	core/break_continue	interp	17	ok
test	core/break_continue	node	48	ok
test	core/builtins	vm	17	ok
test	core/builtins	interp	16	ok
test	core/builtins	node	47	ok
test	core/comma_declarators	vm	16	ok
test	core/comma_declarators	interp	17	ok
test	core/comma_declarators	node	46	ok
test	core/compound_assign	vm	17	ok
test	core/compound_assign	interp	16	ok
test	core/compound_assign	node	47	ok
test	core/conditional	vm	17	ok
test	core/conditional	interp	17	ok
test	core/conditional	node	46	ok
test	core/const	vm	17	ok
test	core/const	interp	17	ok
test	core/const	node	49	ok
test	core/date_types	vm	17	ok
test	core/date_types	interp	17	ok
test	core/date_types	node	48	ok
test	core/do_while	vm	17	ok
test	core/do_while	interp	17	ok
test	core/do_while	node	47	ok
test	core/do_while_continue	vm	17	ok
test	core/do_while_continue	interp	17	ok
test	core/do_while_continue	node	49	ok
test	core/exponentiation	vm	17	ok
test	core/exponentiation	interp	17	ok
test	core/exponentiation	node	47	ok
test	core/fn_any	vm	17	ok
test	core/fn_any	interp	17	ok
test	core/fn_any	node	47	ok
test	core/for_of	vm	17	ok
